Date,Close,Open_lag1,High_lag1,Low_lag1,Close_lag1,Adj Close_lag1,Volume_lag1,AROONOSC_lag1,RSI_lag1,RSI1_lag1,DX_lag1,AD_lag1,OBV_lag1,ATR_lag1,NATR_lag1,TRANGE_lag1,CDLENGULFING_lag1,CDLHANGINGMAN_lag1,CDLSHOOTINGSTAR_lag1,CDLHAMMER_lag1,
30/11/2017,10233.59961,10077.40039,11517.40039,9601.030273,9888.610352,9888.610352,11568799744,83.33333333,81.001422,80.31104825,99.84415068,31245805949,50394939392,727.8092901,5.923059342,585.7082592,0,0,0,0,
01/12/2017,10975.59961,9906.790039,10801,9202.049805,10233.59961,10233.59961,8310689792,83.33333333,84.48432213,83.42578064,37.06718874,33658264954,58705629184,872.999441,6.430608079,658.0826832,0,0,0,0,
02/12/2017,11074.59961,10198.59961,11046.7002,9694.650391,10975.59961,10975.59961,6783119872,66.66666667,89.46769148,88.13548198,54.62322126,39727973536,65488749056,952.8411683,6.447499804,707.6517633,0,0,0,0,
03/12/2017,11323.2002,10978.2998,11320.2002,10905.09961,11074.59961,11074.59961,5138500096,50,89.98281407,88.638046,72.00789705,38785929893,70627249152,863.2177379,6.201174534,686.7552507,0,0,-1,0,
04/12/2017,11657.2002,11082.7002,11858.7002,10862,11323.2002,11323.2002,6608309760,50,91.26950461,89.89235622,88.84180971,38293308213,77235558912,885.4648141,6.260546162,708.8941753,0,0,0,0,
05/12/2017,11916.7002,11315.40039,11657.2002,11081.7998,11657.2002,11657.2002,6132409856,50,92.76730543,91.38336658,88.84180971,44425718069,83367968768,833.7874102,5.999372862,699.358905,0,0,0,0,
06/12/2017,14291.5,11685.7002,12032,11604.59961,11916.7002,11916.7002,6895260160,83.33333333,93.76465579,92.39962352,95.82756135,47600709520,90263228928,766.0562403,5.705717906,679.9332968,0,0,0,0,
07/12/2017,17899.69922,11923.40039,14369.09961,11923.40039,14291.5,14291.5,12656300032,100,97.52007031,96.63584361,99.52627774,59453865870,1.0292E+11,1047.113436,5.643480527,806.5380195,0,0,0,0,
08/12/2017,16569.40039,14266.09961,17899.69922,14057.2998,17899.69922,17899.69922,17950699520,100,98.81801212,98.30776214,99.8712123,77404565390,1.2087E+11,1512.994432,5.717332171,1023.385262,0,0,0,0,
09/12/2017,15178.2002,17802.90039,18353.40039,14336.90039,16569.40039,16569.40039,21135998976,83.33333333,80.23835077,80.99380868,99.89151422,79764703704,99734229504,1930.24536,7.466650226,1237.179172,0,0,0,0,
10/12/2017,15455.40039,16523.30078,16783,13674.90039,15178.2002,15178.2002,13911300096,83.33333333,64.92028969,66.66816489,36.90970989,79310407788,85822929408,2126.554402,9.031481521,1370.816346,0,0,0,0,
11/12/2017,16936.80078,15168.40039,15850.59961,13226.59961,15455.40039,15455.40039,13433299968,66.66666667,66.45165246,67.98451992,4.040109199,88697343692,99256229376,2209.462001,9.448667955,1460.329464,0,0,0,0,
12/12/2017,17415.40039,15427.40039,17513.90039,15404.7998,16936.80078,16936.80078,12153900032,50,73.78935317,74.31011846,67.68407516,94200056950,1.1141E+11,2192.735099,8.895837401,1506.670258,0,0,0,0,
13/12/2017,16408.19922,16919.80078,17781.80078,16571.59961,17415.40039,17415.40039,14603799552,33.33333333,75.83815558,76.09067435,73.55648716,99960966601,1.26014E+11,2028.979444,8.529771707,1485.493895,0,0,0,0,
14/12/2017,16564,17500,17653.09961,16039.7002,16408.19922,16408.19922,12976900096,-33.33333333,63.33568269,65.02529057,0.812171908,92911891904,1.13037E+11,1959.716106,9.109043495,1494.630004,-1,0,0,0,
15/12/2017,17706.90039,16384.59961,17085.80078,16185.90039,16564,16564,13777399808,-33.33333333,64.42435116,65.91970459,0.812171908,90711838966,1.26814E+11,1783.080153,8.766900006,1452.149317,0,0,0,0,
16/12/2017,19497.40039,16601.30078,18154.09961,16601.30078,17706.90039,17706.90039,14309999616,83.33333333,71.79624362,72.03924625,77.28850932,96779404942,1.41124E+11,1750.916729,8.256684553,1462.002909,0,0,0,0,
17/12/2017,19140.80078,17760.30078,19716.69922,17515.30078,19497.40039,19497.40039,12740599808,100,79.7030897,78.94826264,93.0237756,1.06982E+11,1.53865E+11,1825.997014,7.769327424,1514.816876,0,0,0,0,
18/12/2017,19114.19922,19475.80078,20089,18974.09961,19140.80078,19140.80078,13314599936,100,74.69820281,74.66161249,94.75529018,97648647804,1.4055E+11,1707.48091,7.764834029,1486.251412,0,0,0,0,
19/12/2017,17776.69922,19106.40039,19371,18355.90039,19114.19922,19114.19922,14839499776,66.66666667,74.28065868,74.3104578,6.757850998,1.0498E+11,1.25711E+11,1592.084027,7.59957399,1452.597712,0,0,0,0,
20/12/2017,16624.59961,19118.30078,19177.80078,17275.40039,17776.69922,17776.69922,16894499840,66.66666667,55.5470604,58.24209786,58.61223522,96989120015,1.08816E+11,1643.803421,8.352093134,1484.726475,-1,0,0,0,
21/12/2017,15802.90039,17760.30078,17934.69922,16077.7002,16624.59961,16624.59961,22149699584,-50,44.06087003,47.84521495,82.44404534,87885908417,86666728960,1679.336021,9.090849745,1511.317371,0,0,0,0,
22/12/2017,13831.7998,16642.40039,17567.69922,15342.7002,15802.90039,15802.90039,16516599808,-66.66666667,37.43559696,41.65751635,89.71369685,78201619434,70150129152,1770.279855,9.886125923,1562.294632,0,0,0,0,
23/12/2017,14699.2002,15898,15943.40039,11833,13831.7998,13831.7998,22197999616,-83.33333333,26.12684202,30.58695603,97.92388543,77592444789,47952129536,2160.299944,12.6108114,1744.302186,0,0,0,0,
24/12/2017,13925.7998,13948.7002,15603.2002,13828.7998,14699.2002,14699.2002,13086000128,-83.33333333,36.29002081,38.92049303,97.92388543,77344651509,61038129664,2095.983352,11.88127269,1746.452058,0,0,0,0,
25/12/2017,14026.59961,14608.2002,14626,12747.7002,13925.7998,13925.7998,11572299776,-66.66666667,31.6335503,34.59944606,98.95327779,80289013889,49465829888,2071.902793,12.64629942,1761.09834,0,0,0,1,
26/12/2017,16099.7998,13995.90039,14593,13448.90039,14026.59961,14026.59961,10664699904,-50,32.97854338,35.68518096,98.95327779,80394335672,60130529792,1917.268929,12.24122061,1717.027002,0,0,0,0,
27/12/2017,15838.5,14036.59961,16461.19922,14028.90039,16099.7998,16099.7998,13454300160,-33.33333333,54.8846145,54.0068148,55.06176168,89850462468,73584829952,2003.490709,10.98325575,1768.282188,0,0,0,0,
28/12/2017,14606.5,16163.5,16930.90039,15114.2998,15838.5,15838.5,12487600128,-16.66666667,52.29923071,51.83548906,67.65312627,87319396012,61097229824,1972.342355,11.18624555,1771.733502,0,0,0,0,
29/12/2017,14656.2002,15864.09961,15888.40039,13937.2998,14606.5,14606.5,12336499712,83.33333333,41.29369839,42.44795365,30.26774609,83445389804,48760730112,1968.80206,12.21747466,1784.545437,0,0,0,0,
30/12/2017,12952.2002,14695.7998,15279,14307,14656.2002,14656.2002,13025500160,50,41.88570608,42.93435336,30.26774609,79778957957,61786230272,1802.668384,11.78004158,1726.506477,0,0,0,0,
31/12/2017,14156.40039,14681.90039,14681.90039,12350.09961,12952.2002,12952.2002,14452599808,-50,29.60345899,32.0870719,85.72326476,72790047914,47333630464,1890.857117,13.66363828,1769.741784,0,0,0,0,
